bird_x_norm,bird_y_norm,bird_vel_norm,dist_to_pipe_x_norm,pipe_top_y_norm,pipe_bottom_y_norm,pipe_gap_center_y_norm,action
0.0625,0.5835714285714285,-0.16666666666666666,0.80125,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5814285714285714,-0.125,0.7975,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.58,-0.08333333333333333,0.79375,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5792857142857143,-0.041666666666666664,0.79,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5792857142857143,0.0,0.78625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5685714285714286,-0.625,0.7825,0.4114285714285714,0.5542857142857143,0.4828571428571429,1
0.0625,0.5585714285714286,-0.5833333333333334,0.77875,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5492857142857143,-0.5416666666666666,0.775,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5407142857142857,-0.5,0.77125,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5328571428571428,-0.4583333333333333,0.7675,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5257142857142857,-0.4166666666666667,0.76375,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5192857142857142,-0.375,0.76,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5135714285714286,-0.3333333333333333,0.75625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5085714285714286,-0.2916666666666667,0.7525,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5042857142857143,-0.25,0.74875,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5007142857142857,-0.20833333333333334,0.745,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.49785714285714283,-0.16666666666666666,0.74125,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.4957142857142857,-0.125,0.7375,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.4942857142857143,-0.08333333333333333,0.73375,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.49357142857142855,-0.041666666666666664,0.73,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.49357142857142855,0.0,0.72625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.4942857142857143,0.041666666666666664,0.7225,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.4957142857142857,0.08333333333333333,0.71875,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.49785714285714283,0.125,0.715,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5007142857142857,0.16666666666666666,0.71125,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5042857142857143,0.20833333333333334,0.7075,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5085714285714286,0.25,0.70375,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5135714285714286,0.2916666666666667,0.7,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5192857142857142,0.3333333333333333,0.69625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5257142857142857,0.375,0.6925,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5328571428571428,0.4166666666666667,0.68875,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5407142857142857,0.4583333333333333,0.685,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5492857142857143,0.5,0.68125,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5585714285714286,0.5416666666666666,0.6775,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5685714285714286,0.5833333333333334,0.67375,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5578571428571428,-0.625,0.67,0.4114285714285714,0.5542857142857143,0.4828571428571429,1
0.0625,0.5478571428571428,-0.5833333333333334,0.66625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5385714285714286,-0.5416666666666666,0.6625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.53,-0.5,0.65875,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5221428571428571,-0.4583333333333333,0.655,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.515,-0.4166666666666667,0.65125,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5085714285714286,-0.375,0.6475,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5028571428571429,-0.3333333333333333,0.64375,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.49785714285714283,-0.2916666666666667,0.64,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.49357142857142855,-0.25,0.63625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.49,-0.20833333333333334,0.6325,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.48714285714285716,-0.16666666666666666,0.62875,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.485,-0.125,0.625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.4835714285714286,-0.08333333333333333,0.62125,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.4828571428571429,-0.041666666666666664,0.6175,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.4828571428571429,0.0,0.61375,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.4835714285714286,0.041666666666666664,0.61,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.485,0.08333333333333333,0.60625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.48714285714285716,0.125,0.6025,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.49,0.16666666666666666,0.59875,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.49357142857142855,0.20833333333333334,0.595,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.49785714285714283,0.25,0.59125,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5028571428571429,0.2916666666666667,0.5875,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5085714285714286,0.3333333333333333,0.58375,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.515,0.375,0.58,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5221428571428571,0.4166666666666667,0.57625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.53,0.4583333333333333,0.5725,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5385714285714286,0.5,0.56875,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5478571428571428,0.5416666666666666,0.565,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5578571428571428,0.5833333333333334,0.56125,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5685714285714286,0.625,0.5575,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.58,0.6666666666666666,0.55375,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5921428571428572,0.7083333333333334,0.55,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.605,0.75,0.54625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.6185714285714285,0.7916666666666666,0.5425,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.6078571428571429,-0.625,0.53875,0.4114285714285714,0.5542857142857143,0.4828571428571429,1
0.0625,0.5978571428571429,-0.5833333333333334,0.535,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5885714285714285,-0.5416666666666666,0.53125,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.58,-0.5,0.5275,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5721428571428572,-0.4583333333333333,0.52375,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.565,-0.4166666666666667,0.52,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5585714285714286,-0.375,0.51625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5528571428571428,-0.3333333333333333,0.5125,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5478571428571428,-0.2916666666666667,0.50875,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5435714285714286,-0.25,0.505,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.54,-0.20833333333333334,0.50125,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5371428571428571,-0.16666666666666666,0.4975,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.535,-0.125,0.49375,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5335714285714286,-0.08333333333333333,0.49,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
0.0625,0.5328571428571428,-0.041666666666666664,0.48625,0.4114285714285714,0.5542857142857143,0.4828571428571429,0
